DRUGBANK_ID,PMID
DB00819,"['16244762', '16690967', '16241940']"
DB01194,"['16466327', '17381384', '16553503', '11156732', '21108549', '16614733', '12851152']"
DB00310,[]
DB00569,"['29779246', '2931434']"
DB00457,[]
DB09092,[]
DB01340,"['15650539', '15744554', '16084152', '16380055', '16488800']"
DB00881,"['8121459', '12939213']"
DB01348,[]
DB09089,[]
DB00006,"['9510492', '10485736', '23747952', '8137599']"
DB00974,"['8858389', '9935041', '16275885', '28235796', '28741090', '11879254', '30301707']"
DB00651,[]
DB06228,"['19034320', '23877845', '25728721', '7705212', '9474471', '3370063', '11718311']"
DB00880,"['16050051', '15769862', '21651903', '28988943', '9283683', '27642577', '20444880', '15315511', '28513426', '27994441', '23463484', '12638396', '18042886', '21320112', '25083261', '30374619', '20087482', '25984138', '20373065', '29261857']"
DB00031,[]
DB07278,[]
DB01221,"['26979079', '26459200', '29939605', '29666676', '25028555', '16640453', '16787254', '28082152', '26697176', '30963332', '21224931', '18221101', '16717165']"
DB01023,"['17091608', '16810615', '16000354', '31598394', '30530703', '25604267', '30919941', '15531452']"
DB00727,"['30422518', '26252585', '30248178', '7333059']"
DB00686,"['14500388', '15511084', '15639223', '12880296']"
DB01074,"['15512286', '15858400', '16751108', '15850499']"
DB01138,[]
DB00903,['16148288']
DB09283,"['10420860', '12844462', '10789664', '19474192', '26874237', '22314115', '20625077']"
DB00562,[]
DB01144,"['30703530', '27521067', '29111106', '25064578', '26409259', '29084731', '26172390', '2719503', '2863754', '6749509', '27019', '29630759', '27927840', '23637119', '2829913', '17376402', '26556552', '12648290', '22759389']"
DB04925,"['6861848', '27016085', '3019374', '3498047', '10226758', '8243504']"
DB00945,['17761356']
DB00482,"['1834847', '9156957', '27752334', '16855075', '1532771', '2943308']"
DB09236,"['8094898', '857452', '6665298', '15554746', '26975913', '322907', '27156593', '30066080', '15685783', '21769303', '18626064', '18771592', '27637120', '26635929', '5778245', '1149366', '7796444', '2472517', '18823299']"
DB01115,"['12657973', '6338383', '12540643', '19844625', '19021025', '17110283']"
DB00350,"['15834448', '14530219', '11720635']"
DB01325,[]
DB14600,"['15181049', '17145742']"
DB00208,"['9144743', '3675606', '7895608', '22468178', '31065620', '363379', '28024992', '15947888', '2723123', '15134800', '13608362']"
DB14500,['17237348']
DB04880,[]
DB00627,"['17444339', '12461301', '12827214', '22883741', '22943034', '24490030', '6994981', '6303744', '2869681', '2451639', '7285477', '17353349', '27131036', '12923045', '2862237']"
DB00909,"['7623609', '3554156', '29083803', '19561732', '1586402', '30301727', '3262026', '10997938', '11752104', '9323519', '21095492']"
DB06822,"['15208519', '10979111', '15713944', '16777855', '16943400', '12392591', '22336956', '11566042', '29491719', '28410791', '10749518', '12093311', '19695387', '17983259', '26163615', '30588073', '15205346', '14736236', '17826101', '19761371']"
DB00401,"['11854791', '11329095']"
DB09258,[]
DB01078,[]
