UNIPROT_ID,PMID
P00734,"['8073540', '266717', '873923', '6323392', '3759958', '2856554', '11506076', '15534175', '14760718', '15885491', '16335952', '17244316', '19159218', '19139490', '19838169', '22171320', '24275569', '2583108', '2369893', '2374926', '8251938', '8071320', '9214615', '10051558', '11493008', '16763681', '17685615', '18291642', '18362344', '6405779', '3771562', '3567158', '3801671', '3242619', '2719946', '1354985', '1421398', '1349838', '7865694', '7792730', '10391209', '22028381']"
P51451,"['8083187', '8756631', '10553071', '12023895', '19667185', '21269460', '30356214', '17344846', '']"
P15056,"['11410590', '16964243', '18691976', '18669648', '19710016', '19690332', '21102438', '20068231', '21441910', '21917714', '21406692', '22628551', '23186163', '23907581', '24275569', '27353360', '31024343', '18287029', '29433126', '12460919', '12068308', '12198537', '14612909', '14500344', '16474404', '16959974', '16439621', '17344846', '18042262', '19206169', '23263490', '24455489']"
Q02641,"['15615847', '16959974']"
P02708,"['2449458', '15609996', '19690332', '27375219', '7619526', '8872460', '9158151', '9221765', '10195214', '12588888', '15079006', '16685696', '18252226']"
O75493,['16335952']
O94768,"['19369195', '19690332', '17344846']"
P16581,"['1701274', '18606703', '28011641', '7681016', '7509040', '11081633', '26117840', '7533025', '8557254', '9933738', '10391210', '10982036', '12649084', '24688092', '25787250']"
Q12866,"['8702477', '9160883', '12920122', '16288044', '16335952', '16737840', '17005688', '18421305', '19369195', '21792939', '17344846', '21602930']"
P00736,"['3036070', '6303394', '2820791', '8635594', '2831944', '16335952', '19159218', '24275569', '27745832', '9477945', '11823416', '12429092', '8162045', '22028381']"
P35367,"['15328002', '18691976', '18669648', '23186163', '21697825', '16959974']"
Q8NEV4,"['25822849', '17344846']"
P57078,"['12446564', '21931591', '22197488', '17344846', '22197489', '23610050', '26129644']"
P53355,"['10629061', '11579085', '11980920', '12730201', '15367680', '16132846', '16213824', '15616583', '15729359', '16756490', '17056602', '17703233', '17895359', '18422656', '18195017', '18995835', '19180116', '18974095', '20389280', '19878313', '21497122', '21408167', '21406692', '23186163', '24275569', '27068745', '11573098', '14505650', '17344846']"
O15075,"['10051403', '16548883', '21406692', '17344846']"
Q15303,"['8383326', '9334263', '7689552', '7902537', '8617750', '8570211', '9135143', '9168115', '9419975', '9275162', '9516479', '10358079', '10353604', '10348342', '10722704', '10744726', '10867024', '10725395', '11178955', '11390655', '12807903', '12939402', '15534001', '16061658', '15746097', '16778220', '16815842', '16251361', '16837552', '17120616', '17638867', '16978839', '17486069', '18721752', '19193720', '19098003', '19561640', '20858735', '21439954', '14504474', '15944951', '18437540', '18473151', '18454307', '20933198', '21811097', '16203964', '18287036', '18334220', '17344846', '24119685']"
Q9UGJ0,"['14722619', '17255938', '18691976', '19413330', '19369195', '21460634', '17307971', '17712357', '24275569', '11748095', '11371514', '11407343', '11827995', '15877279']"
Q13423,"['19608861', '21269460', '22634753', '24275569', '25944712', '10673423', '12791694', '15323555']"
P16066,"['1660465', '1672777', '20977274', '23186163', '17344846']"
Q13557,"['14722083', '16690701', '17179159', '17157285', '18691976', '18318008', '19413330', '19482609', '19369195', '19690332', '21269460', '20673813', '21406692', '24275569', '20668654', '17344846']"
P07204,"['8216207', '8390446', '27055590', '7559494', '8528067', '7947766', '8745396', '9367781', '7811989', '9198186', '9157575', '9843165', '11245641', '12139752', '19625716', '20513133']"
Q14432,"['8155697', '16964243', '18088087', '18669648', '21269460', '23186163', '25961942', '28112733']"
Q6DT37,"['23186163', '17344846']"
O00329,"['15135396', '10064595', '19369195', '20081091', '17290298', '20940048', '23186163', '24136356']"
P06213,"['2211730', '8257688', '3166375', '3447155', '3101064', '2842060', '1321605', '1472036', '8452530', '8276809', '7559478', '7537849', '9355755', '9428692', '8995282', '8999839', '9202395', '10207053', '10615944', '10734133', '10803466', '11374898', '11598120', '11726652', '12138094', '12493740', '12612081', '16127460', '16314505', '15738637', '16831875', '16493415', '17347799', '18669648', '19459609', '19159218', '19369195', '19349973', '24275569', '25187647', '27322061', '27617429', '7997262', '9312016', '11124964', '12707268', '14690593', '16246733', '16271887', '16957736', '16894147', '18278056', '18767165', '19071018', '19056263', '19394223', '20348418', '23302862', '3283938', '2834824', '2479553', '2544998', '2168397', '2121734', '2365819', '1963473', '2040394', '2002058', '1890161', '1607067', '1607076', '1563582', '1730625', '1470163', '8432414', '8243830', '8458533', '8390949', '8242067', '8096518', '8388389', '8326490', '8419945', '8288049', '8314008', '8082780', '8188715', '7983039', '7815442', '7657032', '7538143', '8890729', '8636294', '9199575', '9175790', '9299395', '9249867', '1002/(sici)1097-0223(199707)17:7<657::aid-pd132>3.0.co;2-8', '9703342', '10443650', '10733238', '11260230', '12107746', '12023989', '12538626', '12970295', '15161766', '17201797', '17344846', '22768670', '24498630', '28765322']"
P42898,"['7951330', '15729744', '18583979', '21269460', '7726158', '7564788', '7647779', '8826441', '1002/(sici)1096-8628(19960628)63:4<610::aid-ajmg15>3.0.co;2-l', '8940272', '8895734', '9545406', '9545395', '9781030', '9719624', '10323741', '1002/(sici)1096-8628(19990521)84:2<151::aid-ajmg12>3.0.co;2-t', '10536004', '10679944', '1002/(sici)1098-1004(200003)15:3<280::aid-humu9>3.0.co;2-i', '15534175', '18987736', '20236116', '25818041', '25736335']"
O15440,"['18669648', '20068231', '23186163', '24836561']"
P16499,"['7493036', '10393062']"
P51812,"['8250835', '9770464', '10436156', '16213824', '16223362', '16964243', '17213202', '17360704', '18722121', '18508509', '18691976', '18813292', '18669648', '19369195', '19690332', '20068231', '21269460', '21406692', '23186163', '24275569', '26158630', '8955270', '9837815', '10094187', '10528858', '', '10319851', '14986828', '15214012', '', '17100996', '16959974', '17344846', '', '', 'Missin', 'Missin', '']"
P35237,"['8486644', '10068683', '14670919', '17761692', '18669648', '20451170', '21269460', '22223895', '23186163', '24275569']"
O60656,"['12181437', '15472229', '15470161', '16595710', '17179145', '18052087', '18004212', '18674515', '19545173', '20610558', '19951703', '23288867', '24275569', '16959974', '19204906']"
P32297,"['15609996', '16120769', '18385720', '18385738', '18385739', '18385676', '27344019', '31708116']"
P24385,"['8302605', '8695815', '9106657', '10766840', '15241418', '16569215', '18417529', '19124461', '19917254', '19412162', '20399237', '21952639', '24275569', '19237565']"
P33402,['16959974']
P22694,"['19690332', '21269460', '21880142', '21423175', '24275569', '25255805', '17344846']"
P29597,"['7526154', '15277531', '17088085', '18691976', '19369195', '23186163', '20478313', '17344846']"
Q12851,"['7477268', '9712898', '11784851', '15456887', '17584736', '10026130', '11316611', '18669648', '19369195', '19690332', '23186163', '24275569']"
Q9H8P0,"['17986282', '20637498', '20700148', '22240719', '26855069']"
P13945,"['21982743', '7609752', '8721782', '8641219', '10391210']"
P42681,"['9813138', '10523612', '11564877', '12081135', '11859127', '17177976', '19290923', '17344846']"
Q15878,"['15258581', '30343943', '18400181']"
P14416,"['15857609', '17550964', '21184734', '21645528', '17264214', '22408789', '26535572', '25979333', '29466326', '7902708', '10220438', '15389757', '10716258', '1002/1531-8249(200003)47:3<369::aid-ana14>3.0.co;2-9', '21179162']"
Q9NSY1,"['17081983', '18691976', '19413330', '19369195', '19690332', '20068231', '21269460', '23186163', '24275569', '26853940', '17344846']"
Q8NFD2,"['12471243', '17344846']"
Q9UPZ9,"['10699974', '1002/(sici)1097-4652(200004)183:1<129::aid-jcp15>3.0.co;2-s', '15988018', '18691976', '19369195', '24797473', '24853502', '17344846', '19185282', '29539279']"
P47712,"['8381049', '8083230', '7794891', '8619991', '8702602', '9425121', '9468497', '10358058', '11375391', '11416127', '12672805', '14709560', '17081983', '16617059', '16964243', '17472963', '18088087', '18669648', '20068231', '21269460', '21406692', '23186163', '27642067', '28112733', '9430701', '9665851', '10319815', '16959974', '18451993', '23268370', '25102815']"
